slope_window,slope_threshold,residual_min,true_positives,false_positives,false_negatives,precision,recall,f1,total_flags,selected
3,-0.01,0.2,23,60,2,0.27710843373493976,0.92,0.42592592592592593,83,False
3,-0.01,0.8,22,33,3,0.4,0.88,0.55,55,False
3,-0.01,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
3,-0.01,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
3,-0.01,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
3,-0.007,0.2,23,57,2,0.2875,0.92,0.4380952380952381,80,False
3,-0.007,0.8,22,31,3,0.41509433962264153,0.88,0.5641025641025641,53,False
3,-0.007,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
3,-0.007,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
3,-0.007,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
3,0.0,0.2,0,52,25,0.0,0.0,0.0,52,False
3,0.0,0.8,0,27,25,0.0,0.0,0.0,27,False
3,0.0,1.0,0,21,25,0.0,0.0,0.0,21,False
3,0.0,1.2,0,18,25,0.0,0.0,0.0,18,False
3,0.0,1.5,0,15,25,0.0,0.0,0.0,15,False
3,0.001,0.2,0,36,25,0.0,0.0,0.0,36,False
3,0.001,0.8,0,23,25,0.0,0.0,0.0,23,False
3,0.001,1.0,0,20,25,0.0,0.0,0.0,20,False
3,0.001,1.2,0,17,25,0.0,0.0,0.0,17,False
3,0.001,1.5,0,15,25,0.0,0.0,0.0,15,False
3,0.01,0.2,0,0,25,0.0,0.0,0.0,0,False
3,0.01,0.8,0,0,25,0.0,0.0,0.0,0,False
3,0.01,1.0,0,0,25,0.0,0.0,0.0,0,False
3,0.01,1.2,0,0,25,0.0,0.0,0.0,0,False
3,0.01,1.5,0,0,25,0.0,0.0,0.0,0,False
3,0.1,0.2,0,0,25,0.0,0.0,0.0,0,False
3,0.1,0.8,0,0,25,0.0,0.0,0.0,0,False
3,0.1,1.0,0,0,25,0.0,0.0,0.0,0,False
3,0.1,1.2,0,0,25,0.0,0.0,0.0,0,False
3,0.1,1.5,0,0,25,0.0,0.0,0.0,0,False
6,-0.01,0.2,23,57,2,0.2875,0.92,0.4380952380952381,80,False
6,-0.01,0.8,22,32,3,0.4074074074074074,0.88,0.5569620253164557,54,False
6,-0.01,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
6,-0.01,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
6,-0.01,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
6,-0.007,0.2,23,54,2,0.2987012987012987,0.92,0.4509803921568628,77,False
6,-0.007,0.8,22,30,3,0.4230769230769231,0.88,0.5714285714285714,52,False
6,-0.007,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
6,-0.007,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,True
6,-0.007,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
6,0.0,0.2,0,49,25,0.0,0.0,0.0,49,False
6,0.0,0.8,0,26,25,0.0,0.0,0.0,26,False
6,0.0,1.0,0,21,25,0.0,0.0,0.0,21,False
6,0.0,1.2,0,18,25,0.0,0.0,0.0,18,False
6,0.0,1.5,0,15,25,0.0,0.0,0.0,15,False
6,0.001,0.2,0,35,25,0.0,0.0,0.0,35,False
6,0.001,0.8,0,22,25,0.0,0.0,0.0,22,False
6,0.001,1.0,0,19,25,0.0,0.0,0.0,19,False
6,0.001,1.2,0,16,25,0.0,0.0,0.0,16,False
6,0.001,1.5,0,14,25,0.0,0.0,0.0,14,False
6,0.01,0.2,0,0,25,0.0,0.0,0.0,0,False
6,0.01,0.8,0,0,25,0.0,0.0,0.0,0,False
6,0.01,1.0,0,0,25,0.0,0.0,0.0,0,False
6,0.01,1.2,0,0,25,0.0,0.0,0.0,0,False
6,0.01,1.5,0,0,25,0.0,0.0,0.0,0,False
6,0.1,0.2,0,0,25,0.0,0.0,0.0,0,False
6,0.1,0.8,0,0,25,0.0,0.0,0.0,0,False
6,0.1,1.0,0,0,25,0.0,0.0,0.0,0,False
6,0.1,1.2,0,0,25,0.0,0.0,0.0,0,False
6,0.1,1.5,0,0,25,0.0,0.0,0.0,0,False
12,-0.01,0.2,23,51,2,0.3108108108108108,0.92,0.46464646464646464,74,False
12,-0.01,0.8,22,31,3,0.41509433962264153,0.88,0.5641025641025641,53,False
12,-0.01,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
12,-0.01,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
12,-0.01,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
12,-0.007,0.2,23,48,2,0.323943661971831,0.92,0.4791666666666667,71,False
12,-0.007,0.8,22,29,3,0.43137254901960786,0.88,0.5789473684210527,51,False
12,-0.007,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
12,-0.007,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
12,-0.007,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
12,0.0,0.2,0,43,25,0.0,0.0,0.0,43,False
12,0.0,0.8,0,25,25,0.0,0.0,0.0,25,False
12,0.0,1.0,0,21,25,0.0,0.0,0.0,21,False
12,0.0,1.2,0,18,25,0.0,0.0,0.0,18,False
12,0.0,1.5,0,15,25,0.0,0.0,0.0,15,False
12,0.001,0.2,0,32,25,0.0,0.0,0.0,32,False
12,0.001,0.8,0,19,25,0.0,0.0,0.0,19,False
12,0.001,1.0,0,16,25,0.0,0.0,0.0,16,False
12,0.001,1.2,0,13,25,0.0,0.0,0.0,13,False
12,0.001,1.5,0,11,25,0.0,0.0,0.0,11,False
12,0.01,0.2,0,0,25,0.0,0.0,0.0,0,False
12,0.01,0.8,0,0,25,0.0,0.0,0.0,0,False
12,0.01,1.0,0,0,25,0.0,0.0,0.0,0,False
12,0.01,1.2,0,0,25,0.0,0.0,0.0,0,False
12,0.01,1.5,0,0,25,0.0,0.0,0.0,0,False
12,0.1,0.2,0,0,25,0.0,0.0,0.0,0,False
12,0.1,0.8,0,0,25,0.0,0.0,0.0,0,False
12,0.1,1.0,0,0,25,0.0,0.0,0.0,0,False
12,0.1,1.2,0,0,25,0.0,0.0,0.0,0,False
12,0.1,1.5,0,0,25,0.0,0.0,0.0,0,False
24,-0.01,0.2,23,47,2,0.32857142857142857,0.92,0.4842105263157895,70,False
24,-0.01,0.8,22,31,3,0.41509433962264153,0.88,0.5641025641025641,53,False
24,-0.01,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
24,-0.01,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
24,-0.01,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
24,-0.007,0.2,23,44,2,0.34328358208955223,0.92,0.5,67,False
24,-0.007,0.8,22,29,3,0.43137254901960786,0.88,0.5789473684210527,51,False
24,-0.007,1.0,22,24,3,0.4782608695652174,0.88,0.619718309859155,46,False
24,-0.007,1.2,22,20,3,0.5238095238095238,0.88,0.6567164179104478,42,False
24,-0.007,1.5,20,15,5,0.5714285714285714,0.8,0.6666666666666666,35,False
24,0.0,0.2,0,39,25,0.0,0.0,0.0,39,False
24,0.0,0.8,0,25,25,0.0,0.0,0.0,25,False
24,0.0,1.0,0,21,25,0.0,0.0,0.0,21,False
24,0.0,1.2,0,18,25,0.0,0.0,0.0,18,False
24,0.0,1.5,0,15,25,0.0,0.0,0.0,15,False
24,0.001,0.2,0,29,25,0.0,0.0,0.0,29,False
24,0.001,0.8,0,16,25,0.0,0.0,0.0,16,False
24,0.001,1.0,0,13,25,0.0,0.0,0.0,13,False
24,0.001,1.2,0,11,25,0.0,0.0,0.0,11,False
24,0.001,1.5,0,9,25,0.0,0.0,0.0,9,False
24,0.01,0.2,0,0,25,0.0,0.0,0.0,0,False
24,0.01,0.8,0,0,25,0.0,0.0,0.0,0,False
24,0.01,1.0,0,0,25,0.0,0.0,0.0,0,False
24,0.01,1.2,0,0,25,0.0,0.0,0.0,0,False
24,0.01,1.5,0,0,25,0.0,0.0,0.0,0,False
24,0.1,0.2,0,0,25,0.0,0.0,0.0,0,False
24,0.1,0.8,0,0,25,0.0,0.0,0.0,0,False
24,0.1,1.0,0,0,25,0.0,0.0,0.0,0,False
24,0.1,1.2,0,0,25,0.0,0.0,0.0,0,False
24,0.1,1.5,0,0,25,0.0,0.0,0.0,0,False
