threshold_multiplier,consecutive_points_required,rolling_window,direction,true_positives,false_positives,false_negatives,precision,recall,f1,total_flags
2.5,1,144,positive,21,57,4,0.2692307692307692,0.84,0.40776699029126207,78
2.5,2,144,positive,20,51,5,0.28169014084507044,0.8,0.4166666666666667,71
2.0,1,144,positive,22,71,3,0.23655913978494625,0.88,0.3728813559322034,93
2.0,2,144,positive,22,65,3,0.25287356321839083,0.88,0.39285714285714285,87
1.5,1,144,positive,22,106,3,0.171875,0.88,0.28758169934640526,128
1.5,2,144,positive,22,97,3,0.18487394957983194,0.88,0.3055555555555555,119
1.24,1,144,positive,23,135,2,0.14556962025316456,0.92,0.25136612021857924,158
1.24,2,144,positive,23,125,2,0.1554054054054054,0.92,0.26589595375722547,148
1.23,1,144,positive,23,137,2,0.14375,0.92,0.24864864864864866,160
1.23,2,144,positive,23,125,2,0.1554054054054054,0.92,0.26589595375722547,148
1.22,1,144,positive,23,141,2,0.1402439024390244,0.92,0.24338624338624343,164
1.22,2,144,positive,23,131,2,0.14935064935064934,0.92,0.25698324022346375,154
1.21,1,144,positive,23,141,2,0.1402439024390244,0.92,0.24338624338624343,164
1.21,2,144,positive,23,131,2,0.14935064935064934,0.92,0.25698324022346375,154
1.2,1,144,positive,23,142,2,0.1393939393939394,0.92,0.24210526315789474,165
1.2,2,144,positive,23,132,2,0.14838709677419354,0.92,0.2555555555555556,155
1.1,1,144,positive,23,162,2,0.12432432432432433,0.92,0.21904761904761907,185
1.1,2,144,positive,23,147,2,0.13529411764705881,0.92,0.23589743589743586,170
1.0,1,144,positive,23,179,2,0.11386138613861387,0.92,0.20264317180616742,202
1.0,2,144,positive,23,163,2,0.12365591397849462,0.92,0.21800947867298578,186
0.9,1,144,positive,23,194,2,0.10599078341013825,0.92,0.19008264462809918,217
0.9,2,144,positive,23,183,2,0.11165048543689321,0.92,0.19913419913419914,206
0.8,1,144,positive,23,222,2,0.09387755102040816,0.92,0.1703703703703704,245
0.8,2,144,positive,23,212,2,0.09787234042553192,0.92,0.17692307692307693,235
